,Refnis,Municipality FR,Municipality NL,Population,Size in km²,Population / km²
559,82036,Vaux-sur-Sûre,Vaux-sur-Sûre,5640,135.728111,41.55366164346013
560,82037,Gouvy,Gouvy,5286,165.35993,31.96663181944985
561,82038,Sainte-Ode,Sainte-Ode,2555,97.939581,26.087512055008688
562,83000,Arrondissement de Marche-en-Famenne,Arrondissement Marche-en-Famenne,56476,958.051283,58.9488276902605
563,83012,Durbuy,Durbuy,11395,157.079449,72.5429078886061
564,83013,Erezée,Erezée,3284,78.892586,41.626218210162364
565,83028,Hotton,Hotton,5556,57.023236,97.43396534002385
566,83031,La Roche-en-Ardenne,La Roche-en-Ardenne,4253,148.52673,28.634576415975765
567,83034,Marche-en-Famenne,Marche-en-Famenne,17465,122.072169,143.07110411055282
568,83040,Nassogne,Nassogne,5498,113.108527,48.608183183218365
569,83044,Rendeux,Rendeux,2637,69.231874,38.08939217794393
570,83049,Tenneville,Tenneville,2832,91.945448,30.800872273742144
571,83055,Manhay,Manhay,3556,120.171264,29.59110091410872
572,84000,Arrondissement de Neufchâteau,Arrondissement Neufchâteau,63375,1358.428461,46.65317447291028
573,84009,Bertrix,Bertrix,8793,138.501593,63.48663441004609
574,84010,Bouillon,Bouillon,5411,148.642037,36.40289186833466
575,84016,Daverdisse,Daverdisse,1395,56.849037,24.538674243505653
576,84029,Herbeumont,Herbeumont,1624,58.416623,27.800306087532654
577,84033,Léglise,Léglise,5471,173.703194,31.496254467260975
578,84035,Libin,Libin,5223,140.547705,37.161759418270115
579,84043,Neufchâteau (Neufchâteau),Neufchâteau (Neufchâteau),7699,114.48144,67.25107580757195
580,84050,Paliseul,Paliseul,5389,111.272719,48.43055915619353
581,84059,Saint-Hubert,Saint-Hubert,5569,111.970352,49.736380216077194
582,84068,Tellin,Tellin,2432,56.967513,42.690998288796635
583,84075,Wellin,Wellin,3093,67.89169,45.557858406529576
584,84077,Libramont-Chevigny,Libramont-Chevigny,11276,179.184558,62.92952989844136
585,85000,Arrondissement de Virton,Arrondissement Virton,53751,777.271211,69.1534682351692
586,85007,Chiny,Chiny,5180,114.044772,45.4207580861313
587,85009,Etalle,Etalle,5877,79.419275,73.9996682165633
588,85011,Florenville,Florenville,5578,148.114157,37.6601407521092
589,85024,Meix-devant-Virton,Meix-devant-Virton,2809,54.975425,51.095557696916394
590,85026,Musson,Musson,4551,35.371108,128.66433248288405
591,85034,Saint-Léger (Virton),Saint-Léger (Virton),3608,36.250602,99.52938160861439
592,85039,Tintigny,Tintigny,4300,81.83922,52.542045244321734
593,85045,Virton,Virton,11332,95.625236,118.50428269792714
594,85046,Habay,Habay,8409,103.5301,81.22275550781849
595,85047,Rouvroy,Rouvroy,2107,28.101316,74.97869494795191
596,90000,Province de Namur,Provincie Namen,494325,3674.822234,134.51671088370801
597,91000,Arrondissement de Dinant,Arrondissement Dinant,111008,1596.278788,69.54173721689521
598,91005,Anhée,Anhée,7046,66.028478,106.7115313486402
599,91013,Beauraing,Beauraing,9159,174.650363,52.4419179134486
600,91015,Bièvre,Bièvre,3355,109.553772,30.624230811514188
601,91030,Ciney,Ciney,16580,147.869894,112.12559603241483
602,91034,Dinant,Dinant,13451,100.055969,134.43475821017734
603,91054,Gedinne,Gedinne,4632,151.573404,30.55945091791961
604,91059,Hamois,Hamois,7357,76.586831,96.0609011228053
605,91064,Havelange,Havelange,5175,104.74925,49.403695014522775
606,91072,Houyet,Houyet,4956,122.840205,40.34509711213849
607,91103,Onhaye,Onhaye,3241,65.658711,49.361310184721724
608,91114,Rochefort,Rochefort,12611,166.336756,75.81607519146279
609,91120,Somme-Leuze,Somme-Leuze,5641,95.236043,59.23177635593281
610,91141,Yvoir,Yvoir,9167,57.079171,160.60149156686245
611,91142,Hastière,Hastière,6022,56.594102,106.40684783725344
612,91143,Vresse-sur-Semois,Vresse-sur-Semois,2615,101.465839,25.77222073726705
613,92000,Arrondissement de Namur,Arrondissement Namen,316962,1167.705402,271.44003912041507
614,92003,Andenne,Andenne,27391,86.138243,317.988840334252
615,92006,Assesse,Assesse,7032,78.547245,89.52573702616813
616,92035,Eghezée,Eghezée,16337,103.216444,158.27904321137046
617,92045,Floreffe,Floreffe,8144,39.11794,208.19092211910956
618,92048,Fosses-la-Ville,Fosses-la-Ville,10388,63.306937,164.0894425203355
619,92054,Gesves,Gesves,7202,65.007628,110.78699871959643
620,92087,Mettet,Mettet,13102,116.953513,112.02741725252837
621,92094,Namur,Namen,110779,175.893395,629.8076172786363
622,92097,Ohey,Ohey,5127,56.67079,90.46988757347481
623,92101,Profondeville,Profondeville,12220,50.392354,242.49710581093316
624,92114,Sombreffe,Sombreffe,8440,35.887021,235.18251905055035
625,92137,Sambreville,Sambreville,28288,34.25951,825.697740568969
626,92138,Fernelmont,Fernelmont,8032,65.831831,122.0078475411082
627,92140,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,19190,46.962311,408.6255465579622
628,92141,La Bruyère,La Bruyère,9276,53.042626,174.8782196416897
629,92142,Gembloux,Gembloux,26014,96.477614,269.63767988706684
630,93000,Arrondissement de Philippeville,Arrondissement Philippeville,66355,910.838044,72.85049239774618
631,93010,Cerfontaine,Cerfontaine,4923,83.441619,58.99933461262299
632,93014,Couvin,Couvin,13747,206.981567,66.41654230011699
633,93018,Doische,Doische,2997,84.120359,35.62752270232228
634,93022,Florennes,Florennes,11310,134.183554,84.28752751622604
635,93056,Philippeville,Philippeville,9289,157.342333,59.036877252862396
636,93088,Walcourt,Walcourt,18430,123.645053,149.0557005948309
637,93090,Viroinval,Viroinval,5659,121.123559,46.720886066434026
